underlying,ts,bid,ask,spot,runbet_spot
frxAUDJPY,2014-04-29 16:20:47,95.031,95.045,95.038,95.038
frxAUDJPY,2014-04-29 16:20:48,95.03,95.046,95.037,95.037
frxAUDJPY,2014-04-29 16:20:49,95.027,95.046,95.038,95.038
frxAUDJPY,2014-04-29 16:20:50,95.02,95.055,95.038,95.038
frxAUDJPY,2014-04-29 16:20:53,95.028,95.046,95.037,95.037
frxAUDJPY,2014-04-29 16:20:54,95.028,95.046,95.037,95.037
frxAUDJPY,2014-04-29 16:20:55,95.025,95.048,95.036,95.036
frxAUDJPY,2014-04-29 16:20:56,95.012,95.062,95.037,95.037
frxAUDJPY,2014-04-29 16:20:57,95.03,95.045,95.037,95.037
frxAUDJPY,2014-04-29 16:20:59,95.034,95.044,95.038,95.038
frxAUDJPY,2014-04-29 16:21:00,95.031,95.046,95.038,95.038
frxAUDJPY,2014-04-29 16:21:01,95.027,95.045,95.037,95.037
frxAUDJPY,2014-04-29 16:21:02,95.026,95.051,95.038,95.038
frxAUDJPY,2014-04-29 16:21:03,95.027,95.053,95.04,95.04
frxAUDJPY,2014-04-29 16:21:04,95.037,95.044,95.041,95.041
frxAUDJPY,2014-04-29 16:21:05,95,95.1,95.045,95.045
frxAUDJPY,2014-04-29 16:21:06,95.015,95.065,95.04,95.04
frxAUDJPY,2014-04-29 16:21:07,95.036,95.046,95.04,95.04
frxAUDJPY,2014-04-29 16:21:08,95.037,95.044,95.041,95.041
frxAUDJPY,2014-04-29 16:21:09,95.031,95.047,95.039,95.039
frxAUDJPY,2014-04-29 16:21:10,95.035,95.044,95.039,95.039
frxAUDJPY,2014-04-29 16:21:11,95,95.1,95.05,95.05
frxAUDJPY,2014-04-29 16:21:12,95.031,95.049,95.044,95.044
frxAUDJPY,2014-04-29 16:21:13,95.032,95.047,95.04,95.04
frxAUDJPY,2014-04-29 16:21:14,95.036,95.05,95.042,95.042
frxAUDJPY,2014-04-29 16:21:15,95.029,95.059,95.043,95.043
